DATA_REF,FROTA_LOCADA
2022-07-15,25730
2022-07-14,25441
2022-07-13,24855
2022-07-12,24060
2022-07-11,23551
2022-07-10,25482
2022-07-09,25879
2022-07-08,23881
2022-07-07,23490
2022-07-06,22824
2022-07-05,21814
2022-07-04,20895
2022-07-03,22581
2022-07-02,22648
2022-07-01,21084
2022-06-30,20682
2022-06-29,21567
2022-06-28,21313
2022-06-27,21138
2022-06-26,23618
2022-06-25,24576
2022-06-24,23900
2022-06-23,24020
2022-06-22,23101
2022-06-21,21778
2022-06-20,20871
2022-06-19,24435
2022-06-18,26117
2022-06-17,24665
2022-06-16,23234
2022-06-15,21136
2022-06-14,20452
2022-06-13,20932
2022-06-12,23703
2022-06-11,23887
2022-06-10,22628
2022-06-09,22934
2022-06-08,22570
2022-06-07,21685
2022-06-06,20509
2022-06-05,21839
2022-06-04,22248
2022-06-03,21034
2022-06-02,20805
2022-06-01,20184
2022-05-31,19218
2022-05-30,19653
2022-05-29,22341
2022-05-28,23040
2022-05-27,22659
2022-05-26,22835
2022-05-25,22487
2022-05-24,22022
2022-05-23,21569
2022-05-22,23947
2022-05-21,24517
2022-05-20,23389
2022-05-19,23588
2022-05-18,23242
2022-05-17,22493
2022-05-16,21813
2022-05-15,24072
2022-05-14,24849
2022-05-13,23512
2022-05-12,23506
2022-05-11,23087
2022-05-10,22262
2022-05-09,22060
2022-05-08,25128
2022-05-07,25111
2022-05-06,22666
2022-05-05,22169
2022-05-04,21295
2022-05-03,20392
2022-05-02,20006
2022-05-01,22579
2022-04-30,23149
2022-04-29,22406
2022-04-28,22543
2022-04-27,22097
2022-04-26,21324
2022-04-25,21178
2022-04-24,25056
2022-04-23,26700
2022-04-22,25779
2022-04-21,24098
2022-04-20,21280
2022-04-19,20305
2022-04-18,21015
2022-04-17,25615
2022-04-16,26974
2022-04-15,26097
2022-04-14,24063
2022-04-13,22802
2022-04-12,22352
2022-04-11,22232
2022-04-10,24676
2022-04-09,25263
2022-04-08,24073
2022-04-07,23760
2022-04-06,22984
2022-04-05,21866
2022-04-04,20898
2022-04-03,22632
2022-04-02,22839
2022-04-01,20950
2022-03-31,20081
2022-03-30,20575
2022-03-29,20393
2022-03-28,20597
2022-03-27,23497
2022-03-26,24251
2022-03-25,22805
2022-03-24,22458
2022-03-23,22008
2022-03-22,21620
2022-03-21,21846
2022-03-20,24714
2022-03-19,25613
2022-03-18,23824
2022-03-17,23505
2022-03-16,23444
2022-03-15,22744
2022-03-14,22419
2022-03-13,24866
2022-03-12,25296
2022-03-11,23433
2022-03-10,23418
2022-03-09,22741
2022-03-08,21686
2022-03-07,20679
2022-03-06,21760
2022-03-05,22097
2022-03-04,20038
2022-03-03,18980
2022-03-02,20955
2022-03-01,25806
2022-02-28,26735
2022-02-27,29101
2022-02-26,27768
2022-02-25,23266
2022-02-24,22590
2022-02-23,22439
2022-02-22,22138
2022-02-21,22536
2022-02-20,25268
2022-02-19,25676
2022-02-18,24048
2022-02-17,23895
2022-02-16,23505
2022-02-15,22953
2022-02-14,22832
2022-02-13,25057
2022-02-12,25156
2022-02-11,23440
2022-02-10,22841
2022-02-09,21980
2022-02-08,21465
2022-02-07,21061
2022-02-06,23215
2022-02-05,23256
2022-02-04,21336
2022-02-03,20314
2022-02-02,19763
2022-02-01,19058
2022-01-31,18248
2022-01-30,22403
2022-01-29,23041
2022-01-28,21291
2022-01-27,21277
2022-01-26,21680
2022-01-25,22548
2022-01-24,23064
2022-01-23,25504
2022-01-22,25679
2022-01-21,23943
2022-01-20,23604
2022-01-19,23052
2022-01-18,22704
2022-01-17,22920
2022-01-16,24784
2022-01-15,25232
2022-01-14,24163
2022-01-13,24395
2022-01-12,24726
2022-01-11,24231
2022-01-10,24396
2022-01-09,25907
2022-01-08,26404
2022-01-07,25755
2022-01-06,25508
2022-01-05,25313
2022-01-04,25422
2022-01-03,27417
2022-01-02,31690
2022-01-01,33160
